Hostname,Domain,Label,Model,VLAN,Mgmt IP,Gateway,Length,Cable Length,Distribution
fp1,access.npf,FP1.ACCESS.NPF,WS-C2950T-24,14,10.255.202.30,10.255.202.1,33,30,d2
hg1,access.npf,HG1.ACCESS.NPF,WS-C2950T-24,16,10.255.202.31,10.255.202.1,33,50,d2
hh1,access.npf,HH1.ACCESS.NPF,WS-C2950T-24,16,10.255.202.32,10.255.202.1,33,50,d2
hj1,access.npf,HJ1.ACCESS.NPF,WS-C2950T-24,16,10.255.202.33,10.255.202.1,33,50,d2
hk1,access.npf,HK1.ACCESS.NPF,WS-C2950T-24,17,10.255.202.34,10.255.202.1,33,50,d2
hl1,access.npf,HL1.ACCESS.NPF,WS-C2950T-24,17,10.255.202.35,10.255.202.1,33,50,d2
hm1,access.npf,HM1.ACCESS.NPF,WS-C2950T-24,17,10.255.202.36,10.255.202.1,33,30,d2
fn1,access.npf,FN1.ACCESS.NPF,WS-C2960S-10G,11,10.255.217.10,10.255.217.1,33,30,g2
fp1,access.npf,FP1.ACCESS.NPF,WS-C2960S-10G,11,10.255.217.11,10.255.217.1,33,30,g2
fq1,access.npf,FQ1.ACCESS.NPF,WS-C2960S-10G,11,10.255.217.12,10.255.217.1,33,40,g2
fr1,access.npf,FR1.ACCESS.NPF,WS-C2960S-10G,12,10.255.217.13,10.255.217.1,33,40,g2
fs1,access.npf,FS1.ACCESS.NPF,WS-C2960S-10G,12,10.255.217.14,10.255.217.1,33,40,g2
ft1,access.npf,FT1.ACCESS.NPF,WS-C2960S-10G,12,10.255.217.15,10.255.217.1,33,50,g2
fu1,access.npf,FU1.ACCESS.NPF,WS-C2960S-10G,12,10.255.217.16,10.255.217.1,33,50,g2
dq1,access.npf,DQ1.ACCESS.NPF,WS-C2950T-24,11,10.255.203.10,10.255.203.1,33,50,d3
dq2,access.npf,DQ2.ACCESS.NPF,WS-C2950T-24,11,10.255.203.11,10.255.203.1,33,30,d3
dr1,access.npf,DR1.ACCESS.NPF,WS-C2950T-24,11,10.255.203.13,10.255.203.1,33,50,d3
dr2,access.npf,DR2.ACCESS.NPF,WS-C2950T-24,11,10.255.203.14,10.255.203.1,33,30,d3
ds1,access.npf,DS1.ACCESS.NPF,WS-C2950T-24,12,10.255.203.16,10.255.203.1,33,30,d3
ds2,access.npf,DS2.ACCESS.NPF,WS-C2950T-24,12,10.255.203.17,10.255.203.1,33,20,d3
dt1,access.npf,DT1.ACCESS.NPF,WS-C2950T-24,12,10.255.203.19,10.255.203.1,33,30,d3
dt2,access.npf,DT2.ACCESS.NPF,WS-C2950T-24,12,10.255.203.20,10.255.203.1,33,20,d3
du1,access.npf,DU1.ACCESS.NPF,WS-C2950T-24,13,10.255.203.22,10.255.203.1,33,30,d3
du2,access.npf,DU2.ACCESS.NPF,WS-C2950T-24,13,10.255.203.23,10.255.203.1,33,20,d3
dv1,access.npf,DV1.ACCESS.NPF,WS-C2950T-24,13,10.255.203.25,10.255.203.1,33,50,d3
dv2,access.npf,DV2.ACCESS.NPF,WS-C2950T-24,13,10.255.203.26,10.255.203.1,33,30,d3
dw1,access.npf,DW1.ACCESS.NPF,WS-C2950T-24,14,10.255.203.28,10.255.203.1,33,50,d3
dw2,access.npf,DW2.ACCESS.NPF,WS-C2950T-24,14,10.255.203.29,10.255.203.1,33,30,d3
fq1,access.npf,FQ1.ACCESS.NPF,WS-C2950T-24,15,10.255.203.12,10.255.203.1,33,30,d3
fr2,access.npf,FR2.ACCESS.NPF,WS-C2950T-24,15,10.255.203.15,10.255.203.1,33,30,d3
fs1,access.npf,FS1.ACCESS.NPF,WS-C2950T-24,15,10.255.203.18,10.255.203.1,33,20,d3
ft1,access.npf,FT1.ACCESS.NPF,WS-C2950T-24,15,10.255.203.21,10.255.203.1,33,20,d3
fu1,access.npf,FU1.ACCESS.NPF,WS-C2950T-24,15,10.255.203.24,10.255.203.1,33,20,d3
fv1,access.npf,FV1.ACCESS.NPF,WS-C2950T-24,14,10.255.203.27,10.255.203.1,33,30,d3
fw1,access.npf,FW1.ACCESS.NPF,WS-C2950T-24,14,10.255.203.30,10.255.203.1,33,30,d3
dx1,access.npf,DX1.ACCESS.NPF,WS-C2950T-24,11,10.255.204.2,10.255.204.1,33,50,d4
dx2,access.npf,DX2.ACCESS.NPF,WS-C2950T-24,11,10.255.204.3,10.255.204.1,33,30,d4
dy1,access.npf,DY1.ACCESS.NPF,WS-C2950T-24,11,10.255.204.4,10.255.204.1,33,50,d4
dy2,access.npf,DY2.ACCESS.NPF,WS-C2950T-24,11,10.255.204.5,10.255.204.1,33,30,d4
dz1,access.npf,DZ1.ACCESS.NPF,WS-C2950T-24,12,10.255.204.6,10.255.204.1,33,30,d4
dz2,access.npf,DZ2.ACCESS.NPF,WS-C2950T-24,12,10.255.204.7,10.255.204.1,33,20,d4
ea1,access.npf,EA1.ACCESS.NPF,WS-C2950T-24,12,10.255.204.8,10.255.204.1,33,30,d4
ea2,access.npf,EA2.ACCESS.NPF,WS-C2950T-24,12,10.255.204.9,10.255.204.1,33,20,d4
eb1,access.npf,EB1.ACCESS.NPF,WS-C2950T-24,13,10.255.204.10,10.255.204.1,33,30,d4
eb2,access.npf,EB2.ACCESS.NPF,WS-C2950T-24,13,10.255.204.11,10.255.204.1,33,20,d4
ec1,access.npf,EC1.ACCESS.NPF,WS-C2950T-24,13,10.255.204.12,10.255.204.1,33,50,d4
ec2,access.npf,EC2.ACCESS.NPF,WS-C2950T-24,13,10.255.204.13,10.255.204.1,33,30,d4
ed1,access.npf,ED1.ACCESS.NPF,WS-C2950T-24,14,10.255.204.14,10.255.204.1,33,50,d4
ed2,access.npf,ED2.ACCESS.NPF,WS-C2950T-24,14,10.255.204.15,10.255.204.1,33,30,d4
ee1,access.npf,EE1.ACCESS.NPF,WS-C2950T-24,14,10.255.204.16,10.255.204.1,33,50,d4
ee2,access.npf,EE2.ACCESS.NPF,WS-C2950T-24,14,10.255.204.17,10.255.204.1,33,30,d4
ef1,access.npf,EF1.ACCESS.NPF,WS-C2950T-24,15,10.255.204.34,10.255.204.1,33,50,d4
ef2,access.npf,EF2.ACCESS.NPF,WS-C2950T-24,15,10.255.204.35,10.255.204.1,33,50,d4
